"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1","foundation","system","USA","Taiwan","farm","Research","wave","port","cable","turbine","vessel","Statoil","grid","energy","vessel","Netherlands","training","industry","Orsted","market","datum","customer","CWind","survey"
"2","installation","buoy","BOEM","France","Germany","test","Ireland","Port","km","blade","SOV","walney_extension","HVDC","power","crane","Denmark","course","UK","Hornsea_Project_One","%","measurement","company","Wales","inspection"
"3","monopile","sea","New","EDF","Beatrice","testing","tidal_energy","facility","Nexans","Vestas","transfer","farm","ABB","electricity","ship","Borssele","skill","Scotland","consultation","share","GL","product","Director","ROV"
"4","jacket","water","Massachusetts","EOWDC","Borkum","technology","marine_energy","Adwen","installation","MW","gangway","E.ON","transmission","country","Damen","TenneT","student","sector","UK","EUR","DNV","service","Managing","AUV"
"5","tp","wave","state","Forewind","turbine","ORE_Catapult","Scotland","Areva","submarine","gearbox","helicopter","Galloper","converter","China","crew","tender","career","report","SPR","growth","lidar","market","Marine","subsea"
"6","GeoSea","structure","DOE","WindFloat","EnBW","University","device","base","Prysmian","nacelle","technician","Dudgeon","voltage","India","deck","Ofgem","Maersk","opportunity","Grimsby","revenue","certification","business","UK","system"
"7","Jan","temperature","Atlantic","site","SGRE","Narec","EMEC","Moray","JDR","tower","Fred","A2SEA","power","carbon","accommodation","OFTO","industry","energy","CfD","year","analysis","Group","team","repair"
"8","Nul","meter","bird","EIA","SHL","innovation","funding","building","export_cable","MHI","Esvagt","SGRE","connection","%","m","Norway","Safety","supply_chain","triton_knoll","Europe","tool","solution","Dalby","UXO"
"9","De","surface","Deepwater","deadline","Baltic","facility","Orkney","terminal","array","V164","CTV","RWE","platform","coal","passenger","interconnector","people","innovation","Yorkshire","report","assessment","CEO","Iceni","vehicle"
"10","topside","test","York","tender","substation","test_facility","Carnegie","Iberdrola","burial","rotor","Service","Gwynt_y_Mor","transformer","energy_source","cargo","Germany","Skills","EU","consent","trend","mast","experience","company","Subsea"
"11","DEME","mooring","Wind","consortium","island","reliability","tidal_turbine","harbour","subsea_cable","component","sov","Farm","DC","generation","Ulstein","subsidy","worker","cost","Lincolnshire","forecast","risk","Gamesa","Atlantis","maintenance"
"12","leg","concept","Maine","Changhua","Trianel","laboratory","CETO","EMO","VBMS","rotor_blade","VOS","Rampion","Alstom","source","hull","link","education","target","National_grid","quarter","data","acquisition","BMT","monitoring"
"13","Merkur","noise","lease","investigation","Kriegers_Flak","Science","energy","Firth","submarine_cable","China","Vroon","Hywind","network","mix","engine","bidder","safety","renewable","Norfolk","increase","model","industry","expertise","seabed"
"14","pile","generator","New_Jersey","Ideol","Anholt","Professor","Energy","hub","SOC","drive","Ampelmann","Statkraft","converter_station","climate","knot","bid","College","investment","substation","capacity","design","partner","SeaPlanner","Fugro"
"15","barge","storm","Cape","Principle_Power","CIP","university","Tidal","office","power_cable","rotor_diameter","Olsen","Nordsee","AC","percent","fuel","transmission","school","development","Project","Market","software","value","Ltd","diving"
"16","tonne","condition","Maryland","suction","Vattenfall","r&d","Nova_Scotia","ABP","termination","production","crew","coast","OPT","emission","catamaran","Sweden","event","cost_reduction","hornsea_project_one","profit","ZephIR","Solutions","JFMS","drone"
"17","steel","current","Virginia","EDP","Sandbank","partner","technology","quay","NKT","Wind","walk","london_array","TenneT","government","fleet","connection","Academy","gas","Vanguard","price","information","management","service","communication"
"18","jack","pressure","mile","Formosa","Denmark","ORE","Government","AREVA","contract","LM_Wind_Power","Boats","GIB","DolWin","Power","container","EIB","workforce","policy","farm","capital","Lidar","ceo","client","OMM"
"19","Jack_Up_Vessel","motion","block_island","document","borkum_riffgrund","centre","Canada","job","section","factory","charter","Orsted","system","AMSC","propulsion","regime","GWO","carbon_trust","Energy","transaction","turbulence","group","relationship","equipment"
"20","MPI","platform","specie","phase","Senvion","Centre","ocean_energy","area","DeepOcean","generator","access","Burbo_Bank_Extension","offshore_platform","policy","DP","North_Sea","employer","Government","MMO","segment","user","quality","support","drilling"
